date,PX_LAST
2019-01-04,1.3593
2019-01-11,1.3534
2019-01-18,1.3587
2019-01-25,1.3533
2019-02-01,1.35
2019-02-08,1.3563
2019-02-15,1.3566
2019-02-22,1.3511
2019-03-01,1.3552
2019-03-08,1.3588
2019-03-15,1.3531
2019-03-22,1.3526
2019-03-29,1.3557000000000001
2019-04-05,1.3549
2019-04-12,1.3529
2019-04-19,1.3552
2019-04-26,1.362
2019-05-03,1.3605
2019-05-10,1.3626
2019-05-17,1.3774
2019-05-24,1.3753
2019-05-31,1.3748
2019-06-07,1.362
2019-06-14,1.3716
2019-06-21,1.3552
2019-06-28,1.353
2019-07-05,1.3596
2019-07-12,1.357
2019-07-19,1.3604
2019-07-26,1.3696
2019-08-02,1.3773
2019-08-09,1.3851
2019-08-16,1.3845
2019-08-23,1.387
2019-08-30,1.3872
2019-09-06,1.3814
2019-09-13,1.3732
2019-09-20,1.3766
2019-09-27,1.3817
2019-10-04,1.3787
2019-10-11,1.3733
2019-10-18,1.3641
2019-10-25,1.3632
2019-11-01,1.3577
2019-11-08,1.359
2019-11-15,1.3605
2019-11-22,1.3642
2019-11-29,1.3677000000000001
2019-12-06,1.3606
2019-12-13,1.3533
2019-12-20,1.3552
2019-12-27,1.3523
